Id,Nombre,Acronimo,Email,Portal de trasnparencia,Sitio web,Disponible
1,Registro Nacional de las Personas Naturales,RNPN,fromero@rnpn.gob.sv,,https://www.rnpn.gob.sv,True
2,Instituto Nacional de los Deportes de El Salvador,INDES,oir@indes.gob.sv,,http://indes.gob.sv/,True
3,Instituto Salvadoreño para el Desarrollo de la Mujer,ISDEMU,oficialdeinformacion@isdemu.gob.sv,,http://www.isdemu.gob.sv/,True
4,Fondo de Inversión Social para el Desarrollo Local de El Salvador en transición a Ministerio de Desarrollo Local / Fondo de Inversión Nacional en Electrificación y Telefonía ,FISDL / FINET,oir@fisdl.gob.sv,,http://www.fisdl.gob.sv/,True
5,Fondo Solidario para la Familia Microempresaria,FOSOFAMILIA,comunicaciones@fosofamilia.gob.sv,,https://www.fosofamilia.gob.sv,True
6,Ministerio de Hacienda,MH,oficialdeinformacion@mh.gob.sv,http://www7.mh.gob.sv/pmh/es/Temas/Ley_de_Acceso_a_la_Informacion_Publica/,,True
7,Lotería Nacional de Beneficencia,LNB,cesar.rosales@lnb.gob.sv,,https://www.lnb.gob.sv,True
8,Instituto Nacional de Pensiones de los Empleados Públicos,INPEP,informacionpublica@inpep.gob.sv,,https://www.inpep.gob.sv/,True
9,Presidencia de la República,CAPRES,uaip@presidencia.gob.sv,,http://www.presidencia.gob.sv/,True
10,Ministerio de Relaciones Exteriores,RREE,oaip@rree.gob.sv,,http://www.rree.gob.sv/,True
11,Ministerio de la Defensa Nacional,MDN,oir@mdn.mil.sv,,https://www.fuerzaarmada.mil.sv/,True
12,Instituto Salvadoreño de Desarrollo Municipal,ISDEM,uaip@isdem.gob.sv,,http://www.isdem.gob.sv/,True
13,Academia Nacional de Seguridad Pública,ANSP,oir.ansp@gmail.com,,http://www.ansp.gob.sv/,True
14,Ministerio de Gobernación y Desarrollo Territorial,MIGOBDT,oirmigob@gobernacion.gob.sv,,http://www.gobernacion.gob.sv,True
15,Ministerio de Justicia y Seguridad Publica,MJSP,oficial.informacion@seguridad.gob.sv,,http://www.seguridad.gob.sv/,True
16,"Ministerio de Educación, Ciencia y Tecnología",MINEDUCYT,transparencia@mined.gob.sv,,,True
17,Caja Mutual de los Empleados del Ministerio de Educación,CAJA MINED,oir@cajamined.gob.sv,,http://www.cajamined.gob.sv/,True
18,Instituto Salvadoreño Para el Desarrollo Integral de la Niñez y la Adolescencia,ISNA,oficialdeinformacion@isna.gob.sv,,,True
19,Consejo Nacional de la Niñez y de la Adolescencia,CONNA,oficialdeinformacion@conna.gob.sv,,http://www.conna.gob.sv/,True
20,Ministerio de Salud,MINSAL,oir@salud.gob.sv,,http://www.salud.gob.sv,True
21,Consejo Superior de Salud Pública,CSSP,amorales@cssp.gob.sv,,http://cssp.gob.sv/,True
22,Instituto Salvadoreño de Rehabilitación Integral,ISRI,oficial.informacion@isri.gob.sv,,http://www.isri.gob.sv,True
23,Fondo Solidario para la Salud (Fosalud),FOSALUD,oir@fosalud.gob.sv,,http://www.fosalud.gob.sv/,True
24,Ministerio de Trabajo y Previsión Social,MTPS,oficialinformacion@mtps.gob.sv,,,True
25,Instituto Salvadoreño de Fomento Cooperativo,INSAFOCOOP,oir@insafocoop.gob.sv,,http://www.insafocoop.gob.sv/,True
26,Instituto Salvadoreño de Formación Profesional,INSAFORP,oficialdeinformacion@insaforp.org.sv,,http://www.insaforp.org.sv,True
27,Instituto Salvadoreño del Seguro Social,ISSS,oir@isss.gob.sv,,http://www.isss.gob.sv/,True
28,Fondo de Proteccion de Lisiados y Discapacitados a Consecuencia del Conflicto Armado,FOPROLYD,uaip@fondolisiados.gob.sv,,,True
29,Ministerio de Economía,MINEC,oir@minec.gob.sv,,http://www.minec.gob.sv/  ,True
30,Centro Internacional de Ferias y Convenciones de El Salvador.,CIFCO,lizeth.alino@cifco.gob.sv,,http://www.cifco.gob.sv/,True
31,Nuevo Consejo Nacional de Ciencia y Tecnología,NCONACYT,ulisest@conacyt.gob.sv,,http://www.conacyt.gob.sv,True
32,Consejo de Vigilancia de la Profesión de Contaduría Pública y Auditoría,CVPCPA,oir@consejodevigilancia.gob.sv,,,True
33,Consejo Salvadoreño del Café,CSC,emorales@consejocafe.org.sv,http://laip.csc.gob.sv/,,True
34,Comisión Ejecutiva Hidroeléctrica del Río Lempa,CEL,oir@cel.gob.sv,,https://www.cel.gob.sv/,True
35,Corporación Salvadoreña de Turismo,CORSATUR,oficialdeinformacion@corsatur.gob.sv,,,True
36,Superintendencia General de Electricidad y Telecomunicaciones,SIGET,oir@siget.gob.sv,,https://www.siget.gob.sv/,True
37,Superintendencia del Sistema Financiero,SSF,oir@ssf.gob.sv,,,True
38,Corporación Salvadoreña de Inversiones,CORSAIN,oficialdeinformacion@corsain.gob.sv,,,True
39,Centro Nacional de Registros,CNR,uaip@cnr.gob.sv,,http://www.cnr.gob.sv/,True
40,Superintendencia de Competencia,SC,oir@sc.gob.sv,,http://www.sc.gob.sv/,True
41,Defensoría del Consumidor,DC,transparencia@defensoria.gob.sv,,https://www.defensoria.gob.sv/,True
42,Comisión Nacional de la Micro y Pequeña Empresa,CONAMYPE,emiranda@conamype.gob.sv,,https://www.conamype.gob.sv/,True
43,Ministerio de Agricultura y Ganadería,MAG,oir@mag.gob.sv,,,True
44,Instituto Salvadoreño de Transformación Agraria,ISTA,forellana@ista.gob.sv,,,True
45,"Centro Nacional de Tecnología Agropecuaria  y Forestal, Enrique Álvarez Córdova",CENTA,oir@centa.gob.sv,,http://www.centa.gob.sv/2015/,True
46,Escuela Nacional de Agricultura,ENA,oficialdeinformacion@ena.edu.sv,http://portal.ena.edu.sv/,,True
47,Ministerio de Obras Públicas y de Transporte,MOPT,oir@mop.gob.sv,,http://www.mop.gob.sv/,True
48,Administración Nacional de Acueductos y Alcantarillados,ANDA,transparencia@anda.gob.sv,,http://www.anda.gob.sv/,True
49,Fondo Social para la Vivienda,FSV,evelin.soler@fsv.gob.sv,,http://www.fsv.gob.sv/ ,True
